person_id,household_id,age,sex,education_level,is_employed
1,1,6,Male,Secondary,0
2,1,12,Female,None,0
3,2,18,Male,Secondary,1
4,2,55,Female,Secondary,0
5,2,9,Female,None,0
6,2,33,Female,Tertiary,1
7,3,42,Male,Secondary,1
8,3,0,Female,Secondary,0
9,4,21,Female,Primary,0
10,4,40,Male,Primary,0
11,4,35,Male,Tertiary,0
12,4,29,Female,Primary,0
13,4,20,Female,Tertiary,0
14,4,21,Male,Primary,1
15,5,13,Female,None,0
16,6,33,Female,Secondary,0
17,6,38,Female,Secondary,0
18,6,18,Male,Tertiary,1
19,6,18,Male,Secondary,0
20,6,1,Male,Secondary,0
21,6,26,Female,Primary,1
22,7,7,Female,Secondary,0
23,7,43,Male,Tertiary,1
24,7,18,Male,Secondary,1
25,8,46,Male,Secondary,1
26,8,29,Male,Primary,1
27,9,25,Male,Primary,1
28,9,23,Male,Tertiary,1
29,9,30,Male,Secondary,0
30,9,40,Female,None,1
31,10,10,Male,Secondary,0
32,10,42,Male,Secondary,0
33,10,0,Female,Primary,0
34,11,63,Female,Tertiary,0
35,11,20,Male,Secondary,1
36,11,29,Female,Secondary,1
37,11,28,Female,None,1
38,12,51,Female,Tertiary,0
39,12,9,Female,Primary,0
40,12,28,Male,Tertiary,1
41,12,39,Female,Secondary,0
42,12,51,Male,Tertiary,0
43,12,43,Female,Secondary,1
44,12,20,Male,Secondary,0
45,13,24,Male,Secondary,1
46,13,42,Male,Tertiary,0
47,14,20,Male,Primary,1
48,15,0,Male,Primary,0
49,15,1,Male,Primary,0
50,15,4,Female,Tertiary,0
51,15,45,Female,Secondary,0
52,15,17,Male,Secondary,0
53,15,32,Male,Secondary,1
54,16,15,Male,Secondary,0
55,16,7,Female,Primary,0
56,16,13,Male,Tertiary,0
57,17,47,Female,Secondary,0
58,17,11,Male,Secondary,0
59,17,36,Female,Tertiary,0
60,17,28,Male,Secondary,0
61,17,33,Male,Secondary,0
62,17,39,Female,Primary,0
63,18,9,Male,Tertiary,0
64,19,39,Male,Secondary,1
65,19,43,Female,None,0
66,19,36,Female,Primary,1
67,19,36,Female,Tertiary,0
68,20,37,Male,Secondary,0
69,20,20,Male,Secondary,0
70,21,26,Male,Secondary,0
71,21,48,Female,Primary,0
72,21,41,Male,Primary,1
73,21,32,Male,Secondary,0
74,22,28,Female,Secondary,1
75,22,57,Male,Secondary,1
76,22,10,Male,Tertiary,0
77,22,22,Male,Secondary,0
78,23,0,Female,Tertiary,0
79,23,1,Female,Secondary,0
80,23,15,Female,Tertiary,0
81,24,31,Male,Primary,0
82,24,17,Male,None,0
83,24,28,Female,Secondary,0
84,24,32,Male,Tertiary,0
85,24,28,Female,None,0
86,24,0,Male,Secondary,0
87,25,16,Female,Secondary,0
88,25,12,Female,Secondary,0
89,25,19,Male,Secondary,0
90,25,35,Female,Secondary,1
91,26,7,Male,Secondary,0
92,26,3,Female,Secondary,0
93,26,28,Female,Secondary,1
